codebleu_bin_center,token_bin_center,count
0.170000,0.050000,356
0.170000,0.070000,995
0.170000,0.090000,1991
0.170000,0.110000,3376
0.170000,0.130000,4409
0.170000,0.150000,4957
0.170000,0.170000,3618
0.170000,0.190000,1905
0.170000,0.210000,1251
0.170000,0.230000,970
0.170000,0.250000,771
0.170000,0.270000,575
0.170000,0.290000,411
0.170000,0.310000,183
0.170000,0.330000,94
0.170000,0.350000,30
0.170000,0.370000,21
0.170000,0.390000,7
0.170000,0.410000,4
0.170000,0.430000,1
0.170000,0.490000,1
0.190000,0.030000,122
0.190000,0.050000,201
0.190000,0.070000,364
0.190000,0.090000,663
0.190000,0.110000,1176
0.190000,0.130000,1693
0.190000,0.150000,2488
0.190000,0.170000,2071
0.190000,0.190000,1293
0.190000,0.210000,919
0.190000,0.230000,664
0.190000,0.250000,584
0.190000,0.270000,441
0.190000,0.290000,313
0.190000,0.310000,192
0.190000,0.330000,93
0.190000,0.350000,43
0.190000,0.370000,23
0.190000,0.390000,3
0.190000,0.410000,7
0.210000,0.030000,1
0.210000,0.050000,33
0.210000,0.070000,62
0.210000,0.090000,112
0.210000,0.110000,229
0.210000,0.130000,517
0.210000,0.150000,839
0.210000,0.170000,960
0.210000,0.190000,676
0.210000,0.210000,553
0.210000,0.230000,476
0.210000,0.250000,362
0.210000,0.270000,287
0.210000,0.290000,246
0.210000,0.310000,142
0.210000,0.330000,93
0.210000,0.350000,45
0.210000,0.370000,17
0.210000,0.390000,11
0.210000,0.410000,8
0.210000,0.450000,1
0.230000,0.050000,1
0.230000,0.070000,7
0.230000,0.090000,25
0.230000,0.110000,62
0.230000,0.130000,171
0.230000,0.150000,257
0.230000,0.170000,351
0.230000,0.190000,292
0.230000,0.210000,370
0.230000,0.230000,382
0.230000,0.250000,313
0.230000,0.270000,242
0.230000,0.290000,194
0.230000,0.310000,118
0.230000,0.330000,72
0.230000,0.350000,38
0.230000,0.370000,22
0.230000,0.390000,7
0.230000,0.410000,5
0.230000,0.430000,1
0.250000,0.050000,3
0.250000,0.070000,9
0.250000,0.090000,9
0.250000,0.110000,20
0.250000,0.130000,70
0.250000,0.150000,82
0.250000,0.170000,86
0.250000,0.190000,132
0.250000,0.210000,229
0.250000,0.230000,208
0.250000,0.250000,218
0.250000,0.270000,201
0.250000,0.290000,178
0.250000,0.310000,93
0.250000,0.330000,71
0.250000,0.350000,36
0.250000,0.370000,19
0.250000,0.390000,6
0.250000,0.410000,7
0.250000,0.430000,2
0.250000,0.530000,1
0.270000,0.030000,1
0.270000,0.050000,9
0.270000,0.070000,22
0.270000,0.090000,39
0.270000,0.110000,26
0.270000,0.130000,32
0.270000,0.150000,25
0.270000,0.170000,30
0.270000,0.190000,44
0.270000,0.210000,91
0.270000,0.230000,97
0.270000,0.250000,118
0.270000,0.270000,151
0.270000,0.290000,134
0.270000,0.310000,119
0.270000,0.330000,66
0.270000,0.350000,30
0.270000,0.370000,18
0.270000,0.390000,7
0.270000,0.410000,6
0.270000,0.430000,2
0.270000,0.510000,1
0.290000,0.030000,1
0.290000,0.050000,10
0.290000,0.070000,21
0.290000,0.090000,58
0.290000,0.110000,83
0.290000,0.130000,92
0.290000,0.150000,83
0.290000,0.170000,47
0.290000,0.190000,37
0.290000,0.210000,51
0.290000,0.230000,46
0.290000,0.250000,51
0.290000,0.270000,90
0.290000,0.290000,107
0.290000,0.310000,96
0.290000,0.330000,39
0.290000,0.350000,30
0.290000,0.370000,12
0.290000,0.390000,8
0.290000,0.410000,10
0.290000,0.430000,2
0.290000,0.450000,2
0.310000,0.030000,3
0.310000,0.050000,10
0.310000,0.070000,28
0.310000,0.090000,54
0.310000,0.110000,98
0.310000,0.130000,148
0.310000,0.150000,157
0.310000,0.170000,104
0.310000,0.190000,58
0.310000,0.210000,46
0.310000,0.230000,45
0.310000,0.250000,36
0.310000,0.270000,37
0.310000,0.290000,33
0.310000,0.310000,35
0.310000,0.330000,30
0.310000,0.350000,23
0.310000,0.370000,15
0.310000,0.390000,7
0.310000,0.410000,4
0.310000,0.430000,4
0.310000,0.450000,2
0.310000,0.470000,2
0.330000,0.050000,2
0.330000,0.070000,14
0.330000,0.090000,25
0.330000,0.110000,57
0.330000,0.130000,117
0.330000,0.150000,153
0.330000,0.170000,100
0.330000,0.190000,64
0.330000,0.210000,24
0.330000,0.230000,9
0.330000,0.250000,12
0.330000,0.270000,16
0.330000,0.290000,15
0.330000,0.310000,24
0.330000,0.330000,18
0.330000,0.350000,10
0.330000,0.370000,4
0.330000,0.390000,1
0.330000,0.410000,2
0.330000,0.430000,3
0.330000,0.450000,2
0.330000,0.470000,1
0.350000,0.050000,1
0.350000,0.070000,2
0.350000,0.090000,9
0.350000,0.110000,13
0.350000,0.130000,37
0.350000,0.150000,51
0.350000,0.170000,42
0.350000,0.190000,28
0.350000,0.210000,18
0.350000,0.230000,11
0.350000,0.250000,4
0.350000,0.270000,2
0.350000,0.290000,2
0.350000,0.310000,11
0.350000,0.330000,5
0.350000,0.350000,2
0.350000,0.370000,7
0.350000,0.390000,4
0.350000,0.410000,4
0.350000,0.430000,3
0.350000,0.450000,1
0.350000,0.470000,1
0.370000,0.150000,3
0.370000,0.170000,5
0.370000,0.190000,23
0.370000,0.210000,24
0.370000,0.230000,20
0.370000,0.250000,8
0.370000,0.270000,2
0.370000,0.290000,2
0.370000,0.310000,3
0.370000,0.330000,1
0.370000,0.350000,3
0.370000,0.390000,4
0.370000,0.410000,5
0.370000,0.430000,2
0.370000,0.450000,3
0.370000,0.470000,1
0.370000,0.530000,1
0.390000,0.190000,2
0.390000,0.210000,18
0.390000,0.230000,19
0.390000,0.250000,9
0.390000,0.270000,3
0.390000,0.310000,1
0.390000,0.330000,2
0.390000,0.350000,1
0.390000,0.370000,2
0.390000,0.390000,1
0.390000,0.430000,2
0.390000,0.450000,4
0.390000,0.470000,1
0.390000,0.490000,2
0.410000,0.210000,1
0.410000,0.230000,1
0.410000,0.290000,1
0.410000,0.330000,1
0.410000,0.370000,1
0.410000,0.410000,2
0.410000,0.430000,2
0.410000,0.450000,2
0.410000,0.470000,1
0.430000,0.390000,1
0.430000,0.410000,1
0.430000,0.470000,1
0.430000,0.510000,1
0.450000,0.410000,1
0.450000,0.430000,1
0.450000,0.450000,1
0.450000,0.470000,1
0.450000,0.510000,1
0.490000,0.350000,1
0.490000,0.490000,1
0.510000,0.530000,1
0.550000,0.510000,1
