repo_id,model,method,variant,duration_seconds,duration_hours,gpu_energy_kwh,total_energy_kwh,gpu_count,gpu_model,timestamp,codecarbon_rows,status,error
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_kl-forget-first,meta_llama3_2_3b,npo_kl,forget-first,45.75282187003177,0.012709117186119934,0.002103251682598284,0.0059313660898544646,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:42:15,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_gd-forget-first,meta_llama3_2_3b,prod_gd,forget-first,36.0279711720068,0.010007769770001888,0.0015286009451003224,0.0045432478886647575,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:43:43,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_kl-forget-first,meta_llama3_2_3b,prod_kl,forget-first,45.51297872397117,0.012642494089991992,0.0021097825211562338,0.005917012764741154,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:45:20,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_gd-random-retain-full,qwen2_5_coder_3b,ga_gd,random-retain-full,47.54478801495861,0.013206885559710725,0.0025456323142805104,0.006523835497514839,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:46:48,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_kl-random-retain-full,qwen2_5_coder_3b,ga_kl,random-retain-full,79.83155916398391,0.022175433101106642,0.004341529306554293,0.011020575158128461,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:49:18,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_gd-random-retain-full,qwen2_5_coder_3b,npo_gd,random-retain-full,60.20542827807367,0.016723730077242687,0.0029196017801247365,0.00795698253348496,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:51:18,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_kl-random-retain-full,qwen2_5_coder_3b,npo_kl,random-retain-full,91.11217511689756,0.025308937532471546,0.0046657662326126115,0.012289420351151428,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:53:43,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_gd-random-retain-full,qwen2_5_coder_3b,prod_gd,random-retain-full,105.68159260996617,0.029355997947212827,0.00377663607686074,0.01261927465475129,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:57:11,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_kl-random-retain-full,qwen2_5_coder_3b,prod_kl,random-retain-full,92.70895485801157,0.02575248746055877,0.004700098760075377,0.01245555831966493,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:59:37,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_gd-random-retain-full,meta_llama3_2_3b,ga_gd,random-retain-full,39.289830719004385,0.010913841866390108,0.002314707129542626,0.005602233921118166,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:00:58,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_kl-random-retain-full,meta_llama3_2_3b,ga_kl,random-retain-full,63.26304124505259,0.01757306701251461,0.003747382720124648,0.009040706176509948,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:02:55,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_gd-random-retain-full,meta_llama3_2_3b,npo_gd,random-retain-full,49.25478939106688,0.013681885941963023,0.0026141287579726225,0.006731603593554276,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:04:40,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_kl-random-retain-full,meta_llama3_2_3b,npo_kl,random-retain-full,73.03855657193344,0.020288487936648177,0.004029307390112535,0.010140944014248195,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:06:47,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_gd-random-retain-full,meta_llama3_2_3b,prod_gd,random-retain-full,48.26255546102766,0.013406265405841016,0.0025929251298890676,0.006631301738283811,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:08:43,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_kl-random-retain-full,meta_llama3_2_3b,prod_kl,random-retain-full,72.66179072496016,0.020183830756933377,0.004016988491365225,0.010097277656059687,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T17:11:03,1,ok,
